run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2601480192,0,0,0,19719,0,0,0
2,7516192768,2602962944,0,0,0,19994,0,0,0
3,7516192768,2597199872,0,0,0,19805,0,0,0
