run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30396024,30200376,104900,377292,718168,235920,38412,197508,10040,6272,102320,1015996,27284,184,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164159 136898  99986  64783  24501   9977   8114   5353   3219   1689   2039"
1,post,27844892,30129792,2625192,483564,3136960,251332,53884,197448,10492,6448,102740,1016632,27356,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  49339  15565  59775  71842  20058   6697   8113   5354   3219   1689   2039"
2,pre,30401972,30206336,104884,377448,718008,235848,38468,197380,10040,6256,102452,1016032,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164762 137650 100501  65320  24865   9571   8111   5354   3220   1689   2039"
2,post,27851556,30134224,2623256,479052,3139860,251372,53980,197392,10392,6432,102444,1017348,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  50162  15948  61206  72209  19440   6779   8094   5353   3219   1689   2039"
3,pre,30402188,30206636,105148,377760,718272,235736,38252,197484,10040,6272,102568,1016216,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162028 137074  99918  64572  24597  10118   8102   5353   3219   1689   2039"
3,post,27838052,30131180,2632852,490408,3138628,251284,53860,197424,10212,6256,103276,1017072,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  51198  16544  59749  71907  20178   6479   8102   5353   3219   1689   2039"
