run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30403052,30209112,108648,386496,718100,235152,38076,197076,10052,6272,106068,1021384,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161320 135338  98273  63452  25203  11336   7945   5475   3169   1717   2004"
1,post,20595064,30137120,9882528,497536,10385656,251576,53696,197880,10152,6368,106320,1021744,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  33042   4312  46062  63595  18677    589    425    228   2385   1775   1924"
2,pre,30395780,30201856,108728,386648,718020,235188,38108,197080,10052,6224,106148,1021476,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161170 135644  98117  63363  25292  11342   7955   5482   3167   1720   1999"
2,post,20604100,30144900,9881796,497676,10384720,250724,53644,197080,10164,6368,106612,1022160,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  34236   3153  45516  63486  18863    597    424    227   2412   1782   1917"
3,pre,30407464,30213384,108360,386840,717676,235116,38072,197044,10052,6240,106220,1021560,27284,200,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161398 135885  98272  63550  25300  11367   7971   5493   3156   1719   1999"
3,post,20601944,30145056,9882992,499028,10385316,250736,53688,197048,10272,6368,106088,1022224,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  31816   2631  46536  63857  18741    601    416    234   2424   1781   1912"
