run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,3558.72,3557.81,142017.9,1999,145992.8,26187,2329.3,226.7,1.35,0.78,937.54,978.1,0.01,3688.96,142433.91,148267.34,0,0,0,0,0,0,25397,626,26023,7592192415195
2,3583.97,3583.08,141922.45,1999,145924.23,25334,2329.3,225.4,1.34,0.77,933.69,981.74,0.01,3713.58,142340.11,148196.64,0,0,0,0,0,0,24546,624,25170,7592356877798
3,3583.66,3582.76,142026.09,1999,146020.54,26258,2329.3,221.2,1.34,0.81,934.58,977.73,0.01,3711.67,142436.73,148284.07,0,0,0,0,0,0,25471,623,26094,7592521251222
