run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,4329.56,4328.64,570013.77,1999,574904.49,10740515,2329.3,224.46,1.32,0.77,937.49,983.79,0.01,4463.12,570575.04,577186.01,0,0,0,0,0,0,33317,10707003,10740320,7579265407613
2,4271.28,4270.4,571895.9,1999,576697.83,10741459,2329.3,224.7,1.33,0.77,929.21,981.49,0.01,4398.81,572426.81,578963.13,0,0,0,0,0,0,32217,10709050,10741267,7579858204478
3,4249.52,4248.64,571085.08,1999,575877.69,10734091,2329.3,223.65,1.33,0.91,935.92,984.01,0.01,4378.26,571628.28,578152.38,0,0,0,0,0,0,32426,10701471,10733897,7580452769462
