run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30418320,30222696,105328,378796,718076,235292,38128,197164,10044,6224,102752,1017076,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162713 136456  99432  64446  24668  10298   8108   5353   3220   1689   2039"
1,post,27846712,30129776,2623720,477432,3142624,250856,53640,197216,10556,6464,103124,1018056,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  49235  15687  58920  71777  20458   6632   8108   5353   3220   1689   2039"
2,pre,30402784,30207200,105348,378936,718104,235400,38152,197248,10044,6256,102768,1017180,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163647 137577 100727  65546  24789   9578   8109   5353   3220   1689   2039"
2,post,27855792,30138724,2623180,478764,3141436,250988,53708,197280,10660,6448,102344,1017924,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  46781  14878  60411  72378  19808   6860   8093   5353   3219   1689   2039"
3,pre,30414320,30218772,105488,378752,718020,235424,38176,197248,10040,6272,102904,1016904,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163263 136699  99481  64495  24926  10103   8102   5354   3219   1689   2039"
3,post,27846004,30130452,2624188,481324,3140964,250816,53740,197076,10148,6400,103152,1018872,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  42674  12528  56346  70109  21996   7015   8102   5354   3219   1689   2039"
