run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2597531648,0,0,0,19861,0,0,0
2,7516192768,2603380736,0,0,0,19841,0,0,0
3,7516192768,2602504192,0,0,0,19794,0,0,0
