run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30403292,30206692,103288,375856,718264,235208,38048,197160,10036,6256,100708,1016240,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163754 137153 100048  64820  25190   9695   8115   5358   3215   1690   2038"
1,post,27841452,30132264,2630696,484232,3142392,250824,53712,197112,10100,6480,100832,1016768,27284,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  51918  16700  60576  72032  19368   6740   8115   5358   3215   1690   2038"
2,pre,30408320,30211776,103260,376592,718024,235224,38116,197108,10036,6320,100968,1016644,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162925 135989  98862  63709  24638  10527   8115   5357   3216   1690   2038"
2,post,27860836,30140900,2620816,476936,3138456,250828,53816,197012,10756,6352,101380,1016616,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  48966  15246  56219  70438  21627   6889   8114   5357   3216   1690   2038"
3,pre,30407776,30211560,103984,375768,718160,235212,38196,197016,10040,6208,101340,1015376,27284,200,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162555 135877  98844  63837  25385  10140   8114   5358   3216   1690   2038"
3,post,27848908,30130700,2621988,485180,3131852,250824,53736,197088,10288,6336,101392,1016132,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  48259  14858  57389  70576  21900   6520   8114   5358   3216   1690   2038"
