run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30398184,30203688,107540,381652,718044,235068,38160,196908,10044,6256,104956,1017656,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161905 136825  99595  64514  24845  10481   7868   5353   3216   1688   2041"
1,post,24571104,30024040,5791652,4311632,2476216,254828,58104,196724,10208,6416,104988,1018116,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164795 151512 107595  15347   1053    583   1147   5353   3217   1689   2040"
2,pre,30373784,30179744,107744,381820,718704,234996,38276,196720,10044,6336,105036,1017688,27284,88,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 170221 143707 106604  65859  27219  11213   5858   5355   3216   1688   2041"
2,post,24658720,30111832,5791716,3945036,2843380,254868,58096,196772,10304,6400,105236,1018792,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 166137 160713 112403  14783   1358    555    881   5355   3216   1688   2041"
3,pre,30390952,30196476,107676,381872,718084,234792,38020,196772,10044,6304,105100,1017760,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 175316 148460 110759  68183  27894  11103   5030   5354   3217   1688   2041"
3,post,24670864,30124016,5791636,4221644,2566792,255028,58124,196904,10252,6448,105104,1018524,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 185307 155734 115657   9318   1044    545   1345   5354   3217   1688   2041"
