run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,16348471296,12529233920,0,0,0,0,0,0,0
2,16347926528,12527927296,0,0,0,0,0,0,0
3,16349630464,12530212864,0,0,0,0,0,0,0
