run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30427960,30223988,88880,357720,718984,235148,37848,197300,10044,6368,86172,1013324,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 167007 139116 101833  65443  24677   9699   8118   5377   3219   1685   2032"
1,post,27878100,30146052,2607772,463712,3137228,251484,53768,197716,10268,6448,87176,1014124,27284,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  52699  14559  63274  72297  18925   7174   8102   5376   3218   1684   2032"
2,pre,30422808,30219012,89304,358304,718944,235468,37808,197660,10040,6288,86720,1013488,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161249 134325  97486  62017  24071  11843   8125   5375   3216   1684   2033"
2,post,27856124,30136056,2619968,472632,3141136,251288,53852,197436,10408,6416,94432,1014520,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  53960  15705  54691  69328  22194   7037   8114   5375   3216   1684   2033"
3,pre,30414912,30215392,97376,367248,718768,235404,37936,197468,10040,6256,94792,1013808,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 160251 134243  97317  62108  25739  10976   8122   5376   3217   1684   2033"
3,post,27848480,30124724,2616424,478728,3130848,251088,53788,197300,10500,6368,95616,1014360,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  47530  14697  54448  69159  22355   7220   8115   5374   3217   1684   2033"
