run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2597167104,0,0,0,19499,0,0,0
2,7516192768,2603376640,0,0,0,19785,0,0,0
3,7516192768,2603065344,0,0,0,19281,0,0,0
