run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30362112,30167192,106776,379992,718048,235044,38112,196932,10040,6400,104196,1016804,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 180825 152460 113699  75889  24149   7044   6540   5357   3218   1689   2039"
1,post,27852560,30126376,2613452,440692,3169548,250576,53700,196876,10520,6384,104496,1017536,27284,40,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  57126  12997  84080  83401  21314   3299   6520   5357   3218   1689   2039"
2,pre,30398412,30203604,106876,380060,718060,235080,38236,196844,10044,6240,104280,1016800,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162314 136967 100070  64839  25802  10128   7731   5358   3218   1689   2039"
2,post,27872628,30137024,2604564,460556,3139892,250572,53824,196748,10496,6384,104652,1017368,27284,216,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  43202   8961  54490  68947  23465   8990   7211   5358   3218   1689   2039"
3,pre,30401696,30206992,106976,380296,718256,234876,38132,196744,10040,6224,104400,1016916,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163537 136500  99379  64407  24888  10680   7787   5357   3219   1689   2039"
3,post,27865524,30129564,2604428,432244,3168192,250644,53800,196844,10512,6336,104924,1017660,27284,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  40099   9176  55064  68723  22640   9395   7221   5356   3219   1689   2039"
