run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2603540480,0,0,0,19862,0,0,0
2,7516192768,2603302912,0,0,0,19900,0,0,0
3,7516192768,2603356160,0,0,0,19458,0,0,0
