run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2603393024,0,0,0,19371,0,0,0
2,7516192768,2597359616,0,0,0,19794,0,0,0
3,7516192768,2603114496,0,0,0,19810,0,0,0
