run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,9663676416,2586230784,0,0,0,13890,0,0,0
2,9663676416,2586517504,0,0,0,13923,0,0,0
3,9663676416,2586361856,0,0,0,13775,0,0,0
