run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,4184.14,4183.26,245675.05,1999,250280.43,31168,2329.3,222.92,1.34,0.77,932.53,978.67,0.01,4313.11,246096.32,252545.67,0,0,0,0,0,0,30005,972,30977,7588919431894
2,4195.51,4194.62,245612.66,1999,250228.73,31417,2329.3,222.63,1.33,0.77,935.21,990.56,0.01,4322.77,246033.27,252506.55,0,0,0,0,0,0,30263,963,31226,7589187464346
3,4130.34,4129.44,245667.77,1999,250217.12,30996,2329.3,224.58,1.32,0.76,934.34,979.8,0.01,4257.92,246086.89,252485.62,0,0,0,0,0,0,29812,991,30803,7589455452076
