run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30394228,30199204,106336,380444,718104,235184,38288,196896,10044,6256,103756,1017704,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163436 137473 100371  65281  24323   9862   8106   5354   3219   1690   2039"
1,post,25717108,30121124,4742036,3154320,2584936,255044,58268,196776,10292,6432,103784,1018496,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164062 149417 110393  19628   1034    517   5027   5354   3219   1690   2039"
2,pre,30387800,30192848,106452,380788,718016,235168,38392,196776,10044,6400,103836,1017916,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 172019 144950 107881  66409  26008   9611   6807   5354   3219   1690   2039"
2,post,25712484,30125564,4750756,2364568,3381940,254964,58300,196664,10256,6496,103912,1016820,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 171938 152121 117298  13159   1126    508   5160   5354   3219   1690   2039"
3,pre,30417180,30222136,106464,379004,718028,234844,38188,196656,10044,6352,103848,1016144,27284,200,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 169036 141928 104906  64783  25916  10127   7217   5354   3219   1690   2039"
3,post,25557516,29959572,4740904,2447556,3288020,255008,58260,196748,10256,6480,103976,1016792,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 181531 153111 102208  15638   1108    513   5009   5354   3219   1690   2039"
