run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2602819584,0,0,0,19735,0,0,0
2,7516192768,2603008000,0,0,0,19805,0,0,0
3,7516192768,2602823680,0,0,0,19798,0,0,0
