run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,3702304768,0,0,0,6379228,0,0,0
2,7516192768,3702095872,0,0,0,6432472,0,0,0
3,7516192768,3696877568,0,0,0,6407297,0,0,0
