run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,8589934592,2575441920,0,0,0,15754,0,0,0
2,8589934592,2581233664,0,0,0,15762,0,0,0
3,8589934592,2582102016,0,0,0,15729,0,0,0
