run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,9663676416,5849939968,0,0,0,1387688,0,0,0
2,9663676416,5850034176,0,0,0,1403424,0,0,0
3,9663676416,5848961024,0,0,0,1393241,0,0,0
