run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,7516192768,2602766336,0,0,0,19943,0,0,0
2,7516192768,2601390080,0,0,0,19906,0,0,0
3,7516192768,2603020288,0,0,0,19795,0,0,0
