run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30387904,30193800,108212,384620,718020,235152,38268,196884,10052,6192,105644,1019952,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162215 137443 100232  65321  25123  10944   7374   5359   3218   1688   2039"
1,post,18178368,30153716,12312296,12571092,742184,255192,58276,196916,10320,6416,105640,1020832,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 154840 136752  99028  14483    715    491    323    140    140   1688   2039"
2,pre,30411516,30217360,108316,384784,717940,235064,38156,196908,10052,6240,105656,1020016,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161438 135095  97858  63412  25558  11234   7803   5398   3167   1689   2039"
2,post,18171124,30146884,12312996,12571632,741420,255212,58240,196972,10176,6416,105976,1020516,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 149229 135136  97159  16438    652    489    318    141    139   1689   2039"
3,pre,30406944,30212928,108248,384780,718368,235060,38088,196972,10052,6288,105660,1020084,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 160797 135280  97768  63110  25597  11258   7811   5406   3163   1689   2039"
3,post,18163608,30141532,12314396,12573180,742316,255256,58284,196972,10176,6384,105904,1020628,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 148910 134730  97309  16295    654    485    321    138    139   1689   2039"
