run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30384600,30190376,108180,383832,718080,235928,38020,197908,10048,6256,105540,1019252,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163353 137103  99795  64815  25100  10930   7453   5359   3221   1689   2038"
1,post,27857504,30126840,2609772,421552,3187076,250504,53588,196916,10532,6448,105424,1020200,27356,4,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  38584   8563  55531  68966  23615  10208   6527   5359   3221   1689   2038"
2,pre,30399108,30204836,108120,383788,718116,234860,37948,196912,10044,6288,105544,1019244,27284,184,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164178 136950 100036  64845  24994  10975   7479   5361   3220   1688   2039"
2,post,27859400,30139292,2619176,441292,3177892,250592,53632,196960,10204,6432,105496,1019888,27356,220,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  43454  12528  58116  71879  27497  10551   4657   5361   3220   1688   2039"
3,pre,30404340,30210092,108136,383996,718000,235024,38096,196928,10044,6256,105564,1019412,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163050 136230  99453  64465  25962  11382   7178   5361   3220   1688   2039"
3,post,27853640,30121392,2608748,420336,3187500,250672,53712,196960,10160,6464,105688,1020596,27356,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  40983   7512  52968  67843  23676  10884   6445   5361   3220   1688   2039"
