run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30411468,30217380,108188,385776,717768,235076,38300,196776,10052,6256,105900,1020828,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 161871 135845  98432  63390  25404  11286   7889   5467   3166   1693   2020"
1,post,20585164,30126380,9882112,497056,10384780,250520,53776,196744,10384,6416,106104,1021224,27348,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  34262   3053  45976  63720  18633    604    415    245   2407   1746   1930"
2,pre,30407128,30213100,108292,385972,717800,235032,38292,196740,10052,6288,105940,1020932,27284,212,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162291 135708  98484  63492  25447  11294   7912   5479   3160   1702   2011"
2,post,20508496,30137944,9965060,572632,10397212,251148,54168,196980,10576,6400,106520,1021640,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  32724   3159  46818  63648  18798    638    452    271   2426   1772   1883"
3,pre,30408268,30214320,108652,386076,718036,235116,38136,196980,10052,6256,106012,1020964,27284,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 162320 135704  98318  63342  25422  11337   7934   5479   3187   1716   1997"
3,post,20588360,30127860,9880572,496928,10383148,251564,53688,197876,10168,6288,106044,1021564,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  31908   2694  46354  63520  18692    628    438    248   2439   1785   1903"
