run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30391496,30197300,107688,382060,718448,235048,38208,196840,10048,6352,105108,1017940,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 170699 143084 106579  66525  27109  11205   5887   5354   3217   1688   2041"
1,post,24675076,30128728,5791992,2291812,4497136,254912,58076,196836,10136,6400,105124,1018416,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  36476  14527  70676  68196  10071    498   1317   5354   3217   1688   2041"
2,pre,30399756,30205344,107688,382132,718028,234984,38180,196804,10048,6384,105120,1017972,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 173096 145744 108470  72409  29273  10627   4691   5355   3217   1688   2041"
2,post,24640296,30103616,5801552,2793344,4005776,254896,58116,196780,10452,6496,105132,1018788,27356,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  41557   3551  70812  75044   6526    541   1460   5354   3216   1689   2040"
3,pre,30410092,30215804,107772,382432,718000,235164,38384,196780,10048,6352,105192,1018228,27284,12,32,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 168648 142378 105331  69893  27572  11181   5573   5357   3216   1689   2040"
3,post,24666596,30120396,5791572,2261828,4527580,254860,58056,196804,10164,6480,105108,1018720,27328,40,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  35676  13838  65268  73019   8897    528   1337   5357   3216   1689   2040"
