run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30398772,30203480,105916,379584,718072,235176,38200,196976,10044,6240,103336,1017264,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164678 137732 100827  65737  24340   9651   8108   5356   3219   1690   2039"
1,post,27842196,30126064,2624132,480280,3140676,250528,53656,196872,10228,6480,103780,1018060,27284,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  43908  12159  57217  71013  21533   6830   8108   5356   3219   1690   2039"
2,pre,30394560,30199244,105980,379932,717928,234900,38092,196808,10040,6288,103484,1017416,27284,188,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 163533 136372  99368  64966  25176   9696   8108   5356   3219   1690   2039"
2,post,27836528,30129860,2633228,495500,3134860,250600,53672,196928,10404,6384,103808,1017756,27356,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  50530  16851  60363  72654  19898   6351   8090   5353   3219   1690   2039"
3,pre,30395628,30200624,106392,380356,718072,235232,38304,196928,10040,6224,103752,1017560,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal 164634 137553 100477  65498  24121   9878   8101   5353   3219   1690   2039"
3,post,27851348,30135084,2624060,481168,3140080,250688,53792,196896,10636,6304,103896,1018648,27284,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    437    374    352    307    249    195    164    124     98     71    434  | Node 0, zone   Normal  47304  16438  60010  72070  19582   6920   8101   5353   3219   1690   2039"
