run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30371792,30184136,119496,409084,716172,236212,39612,196600,10112,6288,116936,1030816,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 165485 139740 101878  64216  28532  14760   9427   5638   3331   1727   1649"
1,post,26129860,30065912,4248252,667068,4592724,303752,107232,196520,10224,6400,117280,1031532,27300,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  50977  18780  22475  73669  36269  20472  11279   6606   3111    820   1170"
2,pre,30356456,30168544,119592,409392,715864,235940,39452,196488,10112,6256,116952,1031152,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 167779 140776 102722  64959  29243  15589   9929   6056   3132   1603   1623"
2,post,26151060,30085480,4248072,640344,4618540,303732,107180,196552,10372,6432,117212,1032136,27624,16,4,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  52670  22829  29351  76985  38816  22052  12528   6702   2603    725   1108"
3,pre,30364516,30176548,119604,409480,715852,235888,39340,196548,10112,6320,116960,1031260,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 165564 140173 102287  64466  28856  15140   9666   6037   3539   1541   1602"
3,post,26127980,30063088,4248712,620380,4639444,303668,107132,196536,10236,6416,117364,1032264,27284,24,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  57862  23284  27634  77113  38987  22362  12368   6272   2904    742   1070"
