run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30371972,30184148,119688,410152,715748,236064,39524,196540,10112,6352,117044,1031688,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   4210   4293   4109   3809   3408   2750   1778    801    212     21     57  | Node 0, zone   Normal 167901 142145 104142  66530  30424  16562  10987   6992   4167   2031    904"
1,post,26131692,30068816,4249408,631808,4630132,303928,107204,196724,10236,6336,117660,1032320,27284,20,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1776   1668   1624   1492   1339   1077    806    574    395    202    114  | Node 0, zone   Normal  53529  17555  27067  75273  37327  20535  11023   4210   3860   1840    758"
2,pre,30371176,30183380,119888,410404,715744,236052,39384,196668,10112,6208,117196,1031780,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    704    657    624    549    514    446    357    317    243    197    278  | Node 0, zone   Normal 166972 139427 101421  63801  27785  14081   8785   5224   3198   1775   1789"
2,post,26160924,30092244,4245316,631512,4624832,303692,107036,196656,10220,6496,117488,1032468,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   2294   2244   2172   2017   1792   1300    826    507    279    150    137  | Node 0, zone   Normal  49905  18462  20677  71572  33661  17595  10088   4378   2350   1680   1482"
3,pre,30385052,30197092,119908,410588,715732,235696,39052,196644,10112,6320,117204,1031916,27284,28,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    759    677    634    538    542    473    369    297    223    157    305  | Node 0, zone   Normal 165390 138575 100852  63286  27322  13833   8831   5205   3055   1762   1857"
3,post,26154584,30083176,4242120,639528,4614172,303636,106928,196708,10236,6368,117812,1032532,27316,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1563   1383   1405   1274   1197    869    643    425    296    179    181  | Node 0, zone   Normal  52080  21760  24127  70338  33614  18277   9894   4437   1979   1944   1406"
