run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,28360548,28383712,361060,2352352,722172,263200,62112,201088,34148,9104,358012,2736352,27284,40,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 175330 154764 104616  24045  29608  19623   9527   3567   2389   1634   1788"
1,post,24131532,28355612,4523060,3147644,4095228,330024,128888,201136,34256,9280,357840,2737152,27300,52,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 112715  63689  63218  45370  39519  21696   1232    267   2041   1634   1788"
2,pre,28375632,28398908,361044,2353388,722292,263396,62228,201168,34144,9088,358028,2737432,27284,112,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 174071 154245 104147  23384  29255  19279   9410   3747   2445   1634   1788"
2,post,24114700,28326940,4513920,3136164,4112592,329648,128696,200952,34536,9296,358228,2755104,27624,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 109384  61801  61285  44385  38702  21912   1213    230   2160   1634   1788"
3,pre,28357132,28380412,360992,2370256,722172,263468,62484,200984,34140,9120,358036,2754328,27284,36,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 177378 157619 107287  26377  31850  21320   8981   2941   2338   1634   1788"
3,post,24127532,28339844,4513404,3290152,3945720,330124,128916,201208,34416,9296,358136,2741816,27284,20,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 115878  63925  66723  48007  41419  19524    990    262   2101   1634   1788"
