run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,28348180,28371112,359964,2365764,721684,264672,63676,200996,34476,9120,357432,2750292,27284,240,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    735    737    764    639    571    486    386    287    207    139    316  | Node 0, zone   Normal 166472 146764  97593  16185  23469  14644   9799   5196   2964   1637   1784"
1,post,21051360,28195072,7418244,4429716,5740512,380148,179292,200856,34296,9280,357588,2770088,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    735    737    764    643    573    486    386    287    207    139    316  | Node 0, zone   Normal 177809 156640 109674  21084  22457    740    319    178   2055   1637   1784"
2,pre,28300168,28322756,360228,2386584,721920,263600,62788,200812,34388,9232,357468,2771536,27284,216,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    762    748    755    649    579    487    386    287    207    139    316  | Node 0, zone   Normal 188239 168376 117679  35819  39398  20162   8419   1745   2118   1636   1785"
2,post,21102320,28256968,7427992,7755124,2403504,379316,178544,200772,34444,9328,357668,2747240,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    762    748    755    649    579    487    386    287    207    139    316  | Node 0, zone   Normal 198453 180139 124490  39430   6814    854    313    173   2000   1636   1785"
3,pre,28350124,28373056,360420,2345464,722368,263204,62500,200704,34124,9216,357460,2730064,27284,36,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    762    748    755    649    579    487    386    287    207    139    316  | Node 0, zone   Normal 184109 163697 113093  31842  31636  19058   9784   2782   2179   1636   1785"
3,post,21124020,28267652,7418752,6997788,3133184,378856,178128,200728,34900,9440,357344,2730360,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    762    748    755    649    579    487    386    287    207    139    316  | Node 0, zone   Normal 187128 167623 125402  34986  10723    660    312    169   2070   1636   1785"
