run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30359956,30172148,119904,410056,715860,236028,39228,196800,10116,6272,117260,1031392,27284,36,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1047   1001    962    835    795    708    593    440    290    183    226  | Node 0, zone   Normal 166674 139752 101818  64390  28235  14430   8860   4843   2959   1796   1854"
1,post,26146388,30081300,4247468,636128,4621236,303852,107128,196724,10240,6480,117296,1029916,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   2481   2982   3225   2875   2457   1825   1139    681    274     73    109  | Node 0, zone   Normal  57089  18959  22979  73399  34940  18321  10207   4136   2291   1805   1367"
2,pre,30360592,30172792,119912,408248,715740,236052,39360,196692,10116,6336,117268,1029576,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    773   1138   1145   1033    957    858    714    534    347    185    183  | Node 0, zone   Normal 167569 140174 102194  64613  28498  14545   8964   4771   2837   1731   1906"
2,post,26152828,30073924,4235392,632996,4611096,303584,107008,196576,10244,6416,117692,1030464,27300,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   2242   2112   2067   1897   1716   1365    900    584    244    141    155  | Node 0, zone   Normal  55821  19222  25008  74290  36279  19574  10218   3695   2126   1722   1426"
3,pre,30356988,30168960,119632,408500,715432,235740,39200,196540,10116,6272,117280,1029804,27284,192,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1214   1029   1049    888    831    748    545    442    251    205    225  | Node 0, zone   Normal 167691 139963 101844  64452  28447  14702   8911   5005   2620   1699   1949"
3,post,26149380,30070256,4235176,632456,4611524,303652,107016,196636,10232,6352,117428,1030144,27284,20,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1568   1658   1540   1398   1267    999    743    533    333    180    153  | Node 0, zone   Normal  51964  19770  24696  74386  36208  19440  10824   4734   1911   1924   1221"
