run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,12884901888,4335038464,0,0,0,40601,0,0,0
2,12884901888,4335386624,0,0,0,40736,0,0,0
3,12884901888,4334780416,0,0,0,38769,0,0,0
