run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,13393.32,13392.43,564962.12,1999,578790.11,165090,2979.7,228.36,2.02,1.18,1169.78,1402.42,0.01,13525.27,565397.07,581726.12,0,0,0,0,0,0,158182,6760,164942,7633545395516
2,13376.97,13376.07,564935.69,1999,578752.97,164519,2979.7,229.07,2.08,1.19,1172.97,1399.94,0.01,13512.67,565376.25,581694.18,0,0,0,0,0,0,157690,6680,164370,7634143562738
3,13293.14,13292.24,564615.02,1999,578344.51,162915,2979.7,224.3,2.0,1.18,1168.6,1394.82,0.01,13425.24,565051.69,581267.83,0,0,0,0,0,0,156174,6593,162767,7634741681554
