run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,12903.7,12902.8,784305.63,1999,797652.74,13843689,2979.7,227.59,2.01,1.19,1173.34,1401.45,0.01,13028.17,784749.15,800582.91,0,0,0,0,0,0,138759,13704795,13843554,7638090414597
2,12916.22,12915.34,783845.63,1999,797219.43,13861354,2979.7,225.51,2.02,1.2,1170.94,1397.74,0.01,13037.73,784303.32,800138.45,0,0,0,0,0,0,139136,13722044,13861180,7638908764489
3,12891.2,12890.24,786202.33,1999,799534.79,13850291,2979.7,226.92,2.01,1.17,1168.59,1400.24,0.01,13023.42,786643.69,802466.06,0,0,0,0,0,0,138786,13711331,13850117,7639726689120
