run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,23622320128,4313075712,0,0,0,18709,0,0,0
2,23622320128,4314214400,0,0,0,18917,0,0,0
3,23622320128,4314611712,0,0,0,18174,0,0,0
