run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,12884901888,4325752832,0,0,0,40436,0,0,0
2,12884901888,4329971712,0,0,0,39934,0,0,0
3,12884901888,4329353216,0,0,0,40437,0,0,0
