run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30368632,30180604,119392,407856,715848,236356,39352,197004,10112,6240,116904,1029732,27284,196,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 166897 140113 102191  64525  28887  15186   9345   5606   3190   1649   1707"
1,post,26147904,30082716,4248576,628968,4629948,303832,107088,196744,10288,6480,117132,1031264,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  55406  21888  27502  76129  38235  21542  12176   7017   2639    707   1128"
2,pre,30362092,30174304,119548,408776,716316,236080,39352,196728,10112,6336,116916,1030636,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 167738 140365 102576  64852  29117  15376   9865   6072   3109   1503   1693"
2,post,26137076,30085232,4259800,639068,4632872,303840,107208,196632,10216,6448,117016,1031008,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  59476  22893  28715  77277  38911  22221  12034   6675   2659    744   1102"
3,pre,30380132,30192248,119572,408820,715884,236132,39508,196624,10112,6272,116928,1030624,27284,200,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 167030 139312 101827  64104  28393  14754   9375   5417   3338   1761   1666"
3,post,26138460,30072720,4248352,630276,4627968,303920,107256,196664,10328,6496,117236,1031476,27316,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  56221  23219  26431  76544  38148  21550  12155   6049   2880    880   1100"
