run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30359784,30171864,119884,411084,715772,236076,39116,196960,10112,6256,117240,1032448,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    473    432    421    322    328    301    240    193    177    128    364  | Node 0, zone   Normal 164833 139741 101580  64082  28022  14458   8859   4932   2893   1767   1880"
1,post,26158692,30081924,4236884,637096,4611772,303860,107088,196772,10308,6384,117528,1033136,27300,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1529   1447   1300   1113   1069    807    622    447    281    185    198  | Node 0, zone   Normal  53467  20761  25325  74903  36521  20282  10312   4584   2057   1780   1265"
2,pre,30361212,30173372,119948,411296,715748,236028,39244,196784,10112,6304,117248,1032584,27284,172,8,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    700    614    544    452    446    380    350    277    223    162    312  | Node 0, zone   Normal 166647 140171 102180  64707  28448  14771   9268   5120   2782   1778   1827"
2,post,26156576,30078248,4235876,616056,4630012,304068,107060,197008,10316,6416,117880,1031908,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1565   1574   1533   1503   1449   1128    829    554    332    126    170  | Node 0, zone   Normal  51552  19351  24474  73542  35468  19725  10907   4683   2671   1910   1047"
3,pre,30361036,30173136,119884,409856,715700,236228,39232,196996,10116,6288,117252,1031216,27284,208,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    801    816    798    707    684    611    492    395    280    193    243  | Node 0, zone   Normal 167448 140178 102139  64551  28396  14707   9183   4833   3047   1829   1781"
3,post,26152440,30075588,4236704,624548,4622960,304004,107168,196836,10216,6480,117468,1031840,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32   1787   1748   1636   1507   1381   1073    801    507    292    152    174  | Node 0, zone   Normal  56184  18711  23796  73840  35326  19348   9862   3728   2479   1878   1308"
