run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30363272,30175648,119500,409056,715940,237728,40112,197616,10112,6336,116856,1030984,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 172755 145722 107903  70117  33884  18970  12268   7228   3549   1568    992"
1,post,26142008,30083468,4254728,632712,4632924,305316,107700,197616,10640,6352,117024,1031984,27624,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  60406  20835  35921  81229  43292  24047  13636   7173   2367    425    992"
2,pre,30369444,30181632,119384,409144,715868,237312,39800,197512,10112,6224,116864,1031076,27284,200,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 166678 140164 102383  64523  28908  14904   9238   5468   3166   1695   1722"
2,post,26132872,30072932,4253632,626708,4637176,304984,107656,197328,10220,6416,117260,1031916,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  53607  21347  26878  75633  37666  20783  11667   6497   2903    841   1130"
3,pre,30367396,30179612,119520,409344,715980,236744,39736,197008,10112,6320,116876,1031240,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 165562 139842 101979  64263  28629  14776   9193   5470   3123   1696   1748"
3,post,26131600,30072572,4254488,649260,4616072,304464,107460,197004,10692,6384,117372,1032420,27300,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  52951  20430  25521  74991  37020  20534  11264   6233   3099    886   1147"
