run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,28358740,28381900,360992,2364408,722284,263816,62120,201696,34140,9136,357976,2748492,27284,40,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 177510 156594 106277  25460  31048  20655   9382   3126   2334   1635   1787"
1,post,24109052,28326216,4518632,2945080,4290272,330016,128604,201412,34252,9264,358196,2736436,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 119824  65254  65791  47377  40454  20064   1067    247   2074   1635   1787"
2,pre,28344616,28367540,360888,2352412,722136,263932,61920,202012,34140,9120,357988,2736500,27284,216,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 174959 155716 105577  24907  30203  19625   9457   3450   2366   1635   1787"
2,post,24104700,28322672,4519272,2580592,4660164,329808,128644,201164,34588,9232,358068,2741032,27284,0,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 115553  62361  63901  46286  39780  20679   1117    253   2123   1635   1787"
3,pre,28365176,28388220,360932,2356868,722172,263096,62072,201024,34140,9088,357996,2740964,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 174427 154702 104626  23975  29685  19319   9436   3622   2428   1634   1788"
3,post,24106848,28324472,4518864,3022936,4213884,329784,128696,201088,34540,9248,357864,2737284,27624,184,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 108713  62312  62134  45388  39071  21349   1222    288   2123   1634   1788"
