run,phase,MemFree_kB,MemAvailable_kB,Cached_kB,Active_kB,Inactive_kB,Slab_kB,SReclaimable_kB,SUnreclaim_kB,PageTables_kB,KernelStack_kB,Mapped_kB,AnonPages_kB,Mlocked_kB,Dirty_kB,Writeback_kB,SwapTotal_kB,SwapFree_kB,buddyinfo
1,pre,30348416,30160408,119308,409552,715684,236476,39516,196960,10112,6272,116884,1031400,27284,212,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 166152 140509 102584  64865  29162  15321   9045   5516   3187   1663   1713"
1,post,26139008,30078496,4253092,656392,4607704,304296,107336,196960,10332,6448,117252,1032620,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  53634  21833  27884  76568  38489  21849  11653   6784   2655    765   1138"
2,pre,30376452,30188632,119532,409596,715936,236652,39692,196960,10112,6288,116888,1031508,27284,12,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 166950 140290 102194  64669  28855  15042   9017   5481   3242   1616   1752"
2,post,26131520,30072964,4254992,629568,4636408,305072,107280,197792,10244,6336,116892,1032144,27284,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  55986  20847  26954  76319  38400  21911  11677   6310   2835    860   1106"
3,pre,30361164,30173328,119500,409808,715892,236624,39700,196924,10112,6208,116896,1031712,27284,32,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal 167226 139733 102422  64736  29056  15249   9196   5548   3250   1605   1722"
3,post,26135936,30076980,4254692,663916,4599896,304260,107216,197044,10664,6384,117352,1030340,27312,16,0,0,0,"Node 0, zone      DMA      0      1      0      0      0      0      0      0      1      1      2  | Node 0, zone    DMA32    761    746    758    650    580    488    386    287    207    139    316  | Node 0, zone   Normal  50736  16670  23648  74127  36787  20924  11636   6392   2955    874   1162"
