run,memory.peak,memory.current,memory.swap.peak,events.low,events.high,events.max,events.oom,events.oom_kill,events.oom_group_kill
1,12884901888,7353741312,0,0,0,3817676,0,0,0
2,12884901888,7351463936,0,0,0,3816204,0,0,0
3,12884901888,7354847232,0,0,0,3807462,0,0,0
