run,load_time_ms,prompt_eval_time_ms,eval_time_ms,eval_tokens,total_time_ms,major_page_faults,mlock_mib,phase_metadata_ms,phase_mmap_ms,phase_tensors_ms,phase_pinning_ms,phase_context_ms,phase_warmup_ms,phase_prompt_eval_ms,phase_generation_ms,phase_total_wall_ms,phase_metadata_faults,phase_mmap_faults,phase_tensors_faults,phase_pinning_faults,phase_context_faults,phase_warmup_faults,phase_prompt_eval_faults,phase_generation_faults,phase_total_faults,phase_t0_abs_us
1,12011.2,12010.27,536201.61,1999,548650.83,8191970,2979.7,229.37,2.04,1.44,1171.33,1405.94,0.01,12149.32,536639.74,551599.18,0,0,0,0,0,0,130362,8061437,8191799,7647902485674
2,12104.19,12103.31,536564.44,1999,549106.8,8191426,2979.7,223.78,2.0,1.19,1174.78,1410.45,0.01,12237.17,537002.71,552052.1,0,0,0,0,0,0,128985,8062306,8191291,7648472540758
3,12117.92,12117.04,537268.34,1999,549827.99,8211244,2979.7,227.18,2.04,1.18,1169.97,1403.36,0.01,12251.09,537710.18,552765.0,0,0,0,0,0,0,129368,8081681,8211049,7649043066253
